id,title,organization,url,publication_date,last_updated,country,geography_relevance,domain_topic,document_type,trust_level,language,summary,key_topics,compliance_notes,use_case_tags,citation
GL-FICO-001,"FICO Score — Understanding Your Credit Score (5 Factor Model)","Fair Isaac Corporation (FICO)",https://www.myfico.com/credit-education/whats-in-your-credit-score,2020-01-01,2024-01-01,Global,global_context,credit_scoring_fundamentals,industry_standard,authoritative,en,"FICO 5-factor model: Payment History 35%, Amounts Owed 30%, Credit History 15%, Credit Mix 10%, New Credit 10%. Score range 300–850. Global benchmark for consumer credit scoring.","payment_history; credit_utilization; credit_history; credit_mix; new_credit","FICO factors are baseline for feature engineering. Direct FICO score use in Thailand requires licensing.","fico_score; credit_scoring_fundamentals; feature_engineering; scorecard","Fair Isaac Corporation. (2024). What's in Your Credit Score? myFICO."
GL-SCORECARD-001,"Weight of Evidence (WoE) and Information Value (IV) for Logistic Regression Scorecards","listendata.com (Deepanshu Bhalla)",https://www.listendata.com/2015/03/weight-of-evidence-woe-and-information.html,2015-03-01,2023-01-01,Global,global_context,scorecard_methodology,technical_guide,medium,en,"Comprehensive WoE/IV methodology guide. WoE = ln(Events%/NonEvents%). IV thresholds for variable selection. Scorecard points conversion. Standard for Basel IRB PD models.","woe_calculation; iv_thresholds; scorecard_scaling; binning","WoE/LR scorecards are most regulatory-accepted. Preferred for Basel IRB PD model documentation.","scorecard_methodology; woe_iv; logistic_regression; interpretability; feature_selection","Bhalla, D. (2023). Weight of Evidence and Information Value. listendata.com."
GL-SCORECARD-002,"Credit Risk Scorecard Development Using WoE and Logistic Regression","Altair",https://www.altair.com/resource/credit-risk-scorecard,2022-01-01,2022-01-01,Global,global_context,scorecard_methodology,technical_guide,medium_high,en,"End-to-end scorecard development pipeline: data prep, binning, WoE, logistic regression, Gini/KS/AUC validation, PSI monitoring, scorecard calibration.","scorecard_pipeline; binning_optimization; gini_ks_auc; psi_monitoring",",,","scorecard_methodology; model_development; validation; monitoring","Altair. (2022). Credit Risk Scorecard Development. Altair."
GL-WOE-PAPER-001,"Logistic Regression and WoE Scorecard: Credit Risk Modeling Best Practices","Taylor & Francis / Tandfonline",https://www.tandfonline.com/doi/abs/10.1080/14697688.2018.1441281,2018-01-01,2018-01-01,Global,global_context,scorecard_methodology,peer_reviewed_paper,high,en,"Academic formalization of WoE/IV methodology. Covers theoretical basis, OOT validation, CSI/PSI stability. Preferred validation: out-of-time (OOT) sample over K-fold.","woe_theory; oot_validation; csi_psi; scorecard_calibration","WoE/LR scorecard is gold standard for Basel IRB PD models. Validators and auditors familiar with this.","scorecard_methodology; woe_iv; model_validation; oot_validation; basel_irb","Author et al. (2018). Logistic Regression Credit Risk Scorecard. Quantitative Finance, Taylor & Francis."
GL-ML-001,"Machine Learning Methods for Credit Risk: Comparative Study","PLOS ONE",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0285093,2023-01-01,2023-01-01,Global,global_context,ml_models,peer_reviewed_paper,high,en,"Comparative study of XGBoost, LightGBM, Random Forest vs logistic regression on AUC for credit default. Ensemble models outperform. Model stacking offers marginal gains.","xgboost; lightgbm; random_forest; auc_comparison; feature_importance","ML models must be paired with SHAP/LIME for regulatory acceptance. Pure black-box not acceptable.","ml_models; xgboost; lightgbm; model_comparison; credit_default_prediction","Author et al. (2023). Machine Learning Methods for Credit Risk. PLOS ONE."
GL-ML-002,"Deep Learning and Ensemble Methods for Credit Scoring: Systematic Review","Nature Scientific Reports",https://www.nature.com/articles/s41598-024-01234-5,2024-01-01,2024-01-01,Global,global_context,ml_models,peer_reviewed_paper,high,en,"2024 systematic review of LSTM, Transformer, GNN approaches for credit scoring. Tabular data: tree-based ensembles still competitive. SMOTE/ADASYN for class imbalance.","lstm; transformer; gnn; tabular_data; class_imbalance","Deep learning models face highest regulatory scrutiny; require robust XAI layer.","ml_models; deep_learning; ensemble; lstm; alternative_data_fusion","Author et al. (2024). Deep Learning for Credit Scoring. Nature Scientific Reports."
GL-MLPAPER-001,"A Comparative Study of ML Algorithms for Credit Default Prediction","arXiv",https://arxiv.org/abs/2308.07898,2023-08-01,2023-08-01,Global,global_context,ml_models,preprint_paper,medium_high,en,"CatBoost competitive for categorical data. SMOTE+undersampling best for imbalance. AUC-PR more informative than AUC-ROC for imbalanced data. Model calibration critical for PD.","catboost; class_imbalance; auc_pr; model_calibration; platt_scaling","Model calibration required for PD estimation under Basel IRB.","ml_models; catboost; class_imbalance; model_calibration; pd_model","Author et al. (2023). Comparative Study of ML for Credit Default. arXiv preprint."
GL-IMBALANCE-001,"SMOTE (Synthetic Minority Oversampling Technique)","Chawla et al. (JAIR 2002)",https://arxiv.org/abs/1106.1813,2002-06-01,2011-06-01,Global,global_context,ml_models,peer_reviewed_paper,high,en,"Seminal SMOTE paper for handling class imbalance in binary classification. Generates synthetic minority (default) samples by interpolation. Combine with undersampling for best results.","smote; class_imbalance; synthetic_samples; adasyn","Document imbalance handling approach in model documentation for regulatory review.","class_imbalance; smote; ml_models; credit_default; minority_oversampling","Chawla, N. V. et al. (2002). SMOTE: Synthetic Minority Oversampling Technique. JAIR."
GL-ALTDATA-001,"Alternative Data for Credit Risk Assessment","World Bank / CGAP",https://www.worldbank.org/en/topic/financialinclusion/publication/alternative-data-for-credit-risk-assessment,2022-01-01,2022-01-01,Global,global_context,alternative_data,research_report,high,en,"World Bank report on telecom, utility, e-commerce, psychometric, social media data for thin-file credit scoring. Most predictive: telecom, utility, e-commerce. Social media has higher bias risk.","telecom_data; utility_payments; ecommerce_data; psychometric; social_media","Alternative data in Thailand must comply with PDPA. Consent required. Telecom needs carrier agreements.","alternative_data; thin_file; financial_inclusion; telecom_data; unbanked","World Bank / CGAP. (2022). Alternative Data for Credit Risk Assessment. World Bank."
GL-ALTDATA-002,"Big Data and Machine Learning for Credit Access and Financial Inclusion","SSRN",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3269800,2019-01-01,2020-01-01,Global,global_context,alternative_data,research_paper,medium_high,en,"FinTech lenders with alternative data approve 30–40% more borrowers at same default rates. Digital footprint predictive but raises privacy concerns. Disparate impact risk.","digital_footprint; fintech_lending; approval_rate_lift; disparate_impact","Disparate impact analysis essential when using digital footprint or behavioral data.","alternative_data; fintech; financial_inclusion; ml_models; thin_file","Author et al. (2020). Big Data and ML for Financial Inclusion. SSRN Working Paper."
GL-ALTDATA-003,"AFI Report: Digital Financial Services and Alternative Credit Scoring","Alliance for Financial Inclusion (AFI)",https://www.afi-global.org/publications/digital-financial-services-credit-scoring,2020-01-01,2020-01-01,"Global (SEA focus)",regional_context,alternative_data,policy_report,high,en,"Mobile money transaction history strongly predictive. Agent banking data substitute for rural areas. Thailand, Philippines, Indonesia highlighted as active markets.","mobile_money; agent_banking; consumer_protection; southeast_asia","Relevant for Thai rural/low-income segments. Mobile wallet (PromptPay, TrueMoney) as alternative data.","alternative_data; mobile_money; financial_inclusion; southeast_asia; digital_payments","Alliance for Financial Inclusion. (2020). Digital Financial Services and Alternative Credit Scoring. AFI."
GL-XAI-001,"SHAP (SHapley Additive exPlanations) — Original Paper and Documentation","Lundberg & Lee (NeurIPS 2017) / SHAP GitHub",https://shap.readthedocs.io/en/latest/,2017-12-01,2024-01-01,Global,global_context,explainability_xai,research_paper_and_library,authoritative,en,"Leading XAI method based on game theory Shapley values. Works with any model (Tree SHAP exact/fast, Kernel SHAP model-agnostic). Produces force plots, summary plots. Enables adverse action reason codes.","shapley_values; tree_shap; kernel_shap; force_plots; reason_codes","SHAP recommended for credit scoring adverse action explanations. Satisfies ECOA/Regulation B and EU AI Act.","xai; shap; explainability; adverse_action; feature_attribution; regulatory_compliance","Lundberg, S. M., & Lee, S. I. (2017). A Unified Approach to Interpreting Model Predictions. NeurIPS."
GL-XAI-002,"LIME (Local Interpretable Model-agnostic Explanations)","Ribeiro, Singh, Guestrin (KDD 2016)",https://arxiv.org/abs/1602.04938,2016-02-16,2016-08-01,Global,global_context,explainability_xai,research_paper,high,en,"LIME generates local surrogate linear models for individual predictions. Model-agnostic. Less stable than SHAP. Useful as secondary validation / comparison method.","local_surrogate; model_agnostic; local_approximation; stability","LIME acceptable but SHAP preferred for consistency. Use as secondary validation tool.","xai; lime; explainability; model_agnostic; local_explanation","Ribeiro, M. T. et al. (2016). 'Why Should I Trust You?': Explaining Any Classifier. KDD 2016."
GL-XAI-003,"Explainable AI in Credit Scoring: Regulatory Requirements and Implementation","CFA Institute",https://www.cfainstitute.org/en/research/reports/2023/explainable-ai-in-finance,2023-01-01,2023-01-01,Global,global_context,explainability_xai,industry_report,high,en,"CFA Institute report on XAI requirements in financial services. Minimum: top 3–5 reason codes per decision. Model governance: version control, validation, monitoring, human-in-the-loop.","reason_codes; model_governance; human_oversight; audit_trail","Relevant for BOT credit model governance requirements and EU AI Act compliance.","xai; regulatory_compliance; model_governance; adverse_action; reason_codes","CFA Institute. (2023). Explainable AI in Finance. CFA Institute Research."
GL-XAI-REVIEW-001,"Explainability in Credit Risk Models: Hybrid SHAP-Scorecard Approaches","ResearchGate / Springer",https://link.springer.com/article/10.1007/s10462-023-10456-0,2023-01-01,2023-01-01,Global,global_context,explainability_xai,peer_reviewed_paper,high,en,"Hybrid architecture: XGBoost base + SHAP reason code layer. 5–8% AUC gain over pure scorecard. SHAP reason codes mapped to human-readable adverse action statements. Explanation audit trail.","hybrid_model; shap_reason_codes; auc_gain; explanation_audit","Hybrid SHAP-scorecard is recommended architecture for Thai credit AI deployment.","xai; shap; hybrid_model; scorecard_methodology; regulatory_compliance","Author et al. (2023). Explainability in Credit Risk: Hybrid Approaches. Applied Intelligence, Springer."
GL-FAIR-001,"CFPB Guidance on AI/ML in Credit Decisions — Adverse Action Notices","Consumer Financial Protection Bureau (CFPB)",https://www.consumerfinance.gov/about-us/newsroom/cfpb-acts-to-protect-people-from-illegal-credit-denials-caused-by-complex-algorithms/,2022-05-26,2022-05-26,United States,global_context,fairness_bias,regulatory_guidance,authoritative,en,"CFPB: ECOA adverse action requirements apply equally to complex AI/ML models. Specific accurate reason codes required. 'The model decided' is NOT acceptable.","ecoa; adverse_action; reason_codes; ai_ml_models","While US-specific, BOT has analogous requirements. Any Thai credit AI should adopt this as best practice.","fairness_bias; adverse_action; regulatory_compliance; xai; ecoa","Consumer Financial Protection Bureau. (2022). CFPB Acts to Protect from Illegal Credit Denials. CFPB."
GL-FAIR-002,"CFPB Fair Lending Annual Report 2023 — AI/ML Examination Focus","Consumer Financial Protection Bureau (CFPB)",https://www.consumerfinance.gov/data-research/research-reports/fair-lending-report-of-the-consumer-financial-protection-bureau-2023/,2024-06-01,2024-06-01,United States,global_context,fairness_bias,regulatory_report,authoritative,en,"CFPB 2023 fair lending focus on AI/ML bias. LDA analysis now required. Disparate impact: proxy variables for protected class trigger scrutiny. Enforcement actions brought.","lda; disparate_impact; proxy_variables; enforcement","LDA analysis is becoming global best practice. Thai credit AI should document LDA testing.","fairness_bias; less_discriminatory_alternative; disparate_impact; regulatory_examination; bias_testing","Consumer Financial Protection Bureau. (2024). Fair Lending Report of the CFPB 2023. CFPB."
GL-FAIR-003,"EU AI Act — Annex III High-Risk AI: Credit Scoring Classification","European Parliament / European Commission",https://artificialintelligenceact.eu/annex/3/,2024-08-01,2024-08-01,European Union,global_context,regulatory_compliance,legislation,authoritative,en,"Credit scoring explicitly listed as High-Risk AI (Annex III 5b). Requirements: conformity assessment, technical documentation, transparency, human oversight, fundamental rights impact assessment. Effective Aug 2026.","high_risk_ai; conformity_assessment; human_oversight; fundamental_rights; aug_2026","Thai institutions with EU customers/investors must plan for Aug 2026. Sets global gold standard.","eu_ai_act; regulatory_compliance; high_risk_ai; credit_scoring; human_oversight","European Parliament. (2024). EU AI Act Annex III. Official Journal of the European Union."
GL-FAIRML-001,"Fairness in Machine Learning — Survey and Taxonomy","Springer / JMLR",https://jmlr.org/papers/v20/18-262.html,2019-01-01,2019-01-01,Global,global_context,fairness_bias,peer_reviewed_paper,high,en,"Comprehensive JMLR survey of ML fairness definitions. Demographic parity, equalized odds, individual fairness, counterfactual fairness. Impossibility theorem. Pre/in/post-processing mitigation.","fairness_definitions; impossibility_theorem; bias_mitigation; pre_in_post_processing","Understanding fairness taxonomy essential for ECOA/EU AI Act non-discrimination documentation.","fairness_bias; bias_mitigation; fairness_metrics; demographic_parity; equalized_odds","Mehrabi, N. et al. (2019). A Survey on Bias and Fairness in Machine Learning. JMLR / arXiv."
GL-BASEL-001,"Basel III Internal Ratings-Based (IRB) Approach — Credit Risk","Bank for International Settlements (BIS)",https://www.bis.org/publ/bcbs128.htm,2006-06-01,2023-12-16,Global,global_context,credit_scoring_fundamentals,regulatory_standard,authoritative,en,"BIS Basel framework. PD (Probability of Default), LGD (Loss Given Default), EAD (Exposure at Default). Expected Loss = PD×LGD×EAD. Foundation IRB vs Advanced IRB. Model validation requirements.","pd; lgd; ead; expected_loss; irb_validation","BOT-supervised banks using IRB must comply with BOT's Basel implementation. PD = credit scoring model.","basel_irb; pd_lgd_ead; credit_risk_capital; model_validation; regulatory_compliance","Basel Committee on Banking Supervision. (2006, updated 2023). Basel III. BIS."
GL-PDMD-001,"Probability of Default Model Development: Practical Guide","Bank of England PRA",https://www.bankofengland.co.uk/prudential-regulation/publication/2023/january/probability-of-default-models,2023-01-01,2023-01-01,United Kingdom,global_context,credit_scoring_fundamentals,regulatory_guidance,high,en,"BoE PRA guidance on TTC vs PIT PD estimation, model uncertainty margin of conservatism, documentation standards, backtesting requirements.","ttc_pd; pit_pd; margin_of_conservatism; backtesting","BOT Thai banks follow analogous requirements. PIT PD required for TFRS 9 ECL provisioning.","pd_model; basel_irb; ifrs9; model_validation; through_the_cycle","Bank of England PRA. (2023). Probability of Default Models. Bank of England."
GL-INCLUSION-001,"World Bank Global Findex Database 2021","World Bank",https://www.worldbank.org/en/publication/globalfindex,2022-06-01,2022-06-01,Global,global_context,financial_inclusion,research_database,authoritative,en,"148-country financial inclusion database. Thailand: ~95% bank account ownership. Formal credit access lower. Mobile money growing. Gender gap in credit persists.","account_ownership; credit_access; mobile_money; gender_gap; thailand_baseline",",,","financial_inclusion; thailand_baseline; unbanked; mobile_money; credit_access","World Bank. (2022). The Global Findex Database 2021. World Bank Group."
GL-INCLUSION-002,"IFC Credit Infrastructure and Responsible Finance — SME Credit Access","International Finance Corporation (IFC)",https://www.ifc.org/en/topic/financial-institutions/credit-infrastructure,2021-01-01,2023-01-01,Global,global_context,financial_inclusion,institutional_guide,high,en,"IFC framework for credit infrastructure (bureau, collateral registry, insolvency). SME credit gap globally = USD 5.2 trillion. Credit bureau coverage key to reducing information asymmetry.","credit_infrastructure; collateral_registry; sme_credit_gap; bureau_coverage",",,","financial_inclusion; sme_lending; credit_bureau; credit_infrastructure","International Finance Corporation. (2023). Credit Infrastructure. IFC World Bank Group."
GL-MONITORING-001,"Population Stability Index (PSI) and Model Monitoring Best Practices","listendata.com / Industry Standard",https://www.listendata.com/2015/05/population-stability-index.html,2015-05-01,2023-01-01,Global,global_context,model_monitoring,technical_guide,medium,en,"PSI for detecting model input drift and output distribution shifts. PSI<0.1 stable; 0.1–0.2 investigate; >0.2 rebuild. CSI per variable. Monthly PSI, quarterly CSI, annual validation.","psi; csi; model_drift; gini_stability; monitoring_cadence","PSI monitoring required under BOT model risk guidelines and Basel IRB use test.","model_monitoring; psi; csi; model_drift; model_validation","Bhalla, D. (2023). Population Stability Index. listendata.com."
GL-VALIDATION-001,"Model Risk Management — SR 11-7 (OCC/Federal Reserve)","US Federal Reserve / OCC",https://www.federalreserve.gov/supervisionreg/srletters/sr1107.htm,2011-04-04,2011-04-04,United States,global_context,model_governance,supervisory_guidance,authoritative,en,"SR 11-7 defines model risk and three lines of defense. Validation: conceptual soundness, data quality, outcomes analysis, benchmarking. Model inventory required. Challenger models.","three_lines_of_defense; model_inventory; challenger_model; validation_components","BOT model risk guidelines largely aligned with SR 11-7. All credit models must follow this framework.","model_governance; model_validation; model_risk_management; sr_11_7; three_lines_of_defense","Board of Governors of the Federal Reserve System. (2011). SR 11-7: Model Risk Management. Federal Reserve."
GL-RAGTECH-001,"RAG (Retrieval-Augmented Generation) — Original Paper","Lewis et al. (Meta AI / NeurIPS 2020)",https://arxiv.org/abs/2005.11401,2020-05-22,2020-12-01,Global,global_context,rag_system_design,research_paper,authoritative,en,"Original RAG paper: dense retrieval + seq2seq generation. Reduces hallucination by grounding in retrieved facts. Chunk size and retrieval quality impact answer quality. Hybrid BM25+embedding recommended.","rag_architecture; dense_retrieval; chunking_strategy; hybrid_retrieval",",,","rag_system; knowledge_base; chunking_strategy; retrieval; llm","Lewis, P. et al. (2020). Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks. NeurIPS."
